booking_id,customer_id,device,country,route_or_destination,amount,payment_method,payment_status,payment_error_code,ticket_status,ticketing_error_code,ticketing_delay_minutes,refund_requested,refund_status,refund_reason,refund_amount,is_booking,is_payment_success,is_payment_failed,is_ticket_issued,is_ticket_failed,is_refunded,revenue_at_risk
BKG000000001,106611,desktop,205,6210,256.26,apple_pay,success,NONE,issued,NONE,44.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000002,908558,desktop,66,8287,300.58,debit_card,success,NONE,issued,NONE,5.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000003,982283,desktop,66,8808,595.79,debit_card,success,NONE,issued,NONE,14.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000004,631966,desktop,66,885,451.45,paypal,success,NONE,issued,NONE,31.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000005,1161448,desktop,66,11814,820.65,paypal,success,NONE,issued,NONE,14.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000006,306971,desktop,66,8576,655.45,credit_card,success,NONE,issued,NONE,30.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000007,224309,desktop,66,12356,181.24,apple_pay,success,NONE,issued,NONE,44.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000008,524376,mobile,205,49500,168.93,paypal,success,NONE,issued,NONE,30.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000009,1104451,mobile,69,23508,138.69,credit_card,success,NONE,issued,NONE,32.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000010,609673,desktop,66,33651,369.32,apple_pay,success,NONE,issued,NONE,40.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000011,98526,desktop,205,8262,440.64,paypal,failed,PAYMENT_PROVIDER_ERROR,not_issued_payment_failed,NONE,,,,,0.0,1,0,1,0,1,0,440.64
BKG000000012,222642,desktop,66,263,207.71,paypal,success,NONE,issued,NONE,10.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
BKG000000013,802195,desktop,19,12225,213.04,bank_transfer,success,NONE,issued,NONE,10.0,False,not_requested,not_requested,0.0,1,1,0,1,0,0,0.0
