payment_id,booking_id,customer_id,payment_attempt_time,payment_method,payment_status,payment_error_code,amount,currency,device,country,route_or_destination
PAY000000001,BKG000000001,106611,2013-11-05 13:52:34,apple_pay,success,NONE,256.26,USD,desktop,205,6210
PAY000000002,BKG000000002,908558,2014-01-28 16:18:36,debit_card,success,NONE,300.58,USD,desktop,66,8287
PAY000000003,BKG000000003,982283,2013-02-21 19:15:44,debit_card,success,NONE,595.79,USD,desktop,66,8808
PAY000000004,BKG000000004,631966,2013-04-02 15:13:46,paypal,success,NONE,451.45,USD,desktop,66,885
PAY000000005,BKG000000005,1161448,2014-09-15 13:29:05,paypal,success,NONE,820.65,USD,desktop,66,11814
PAY000000006,BKG000000006,306971,2014-10-19 20:08:46,credit_card,success,NONE,655.45,USD,desktop,66,8576
PAY000000007,BKG000000007,224309,2014-08-15 22:16:00,apple_pay,success,NONE,181.24,USD,desktop,66,12356
PAY000000008,BKG000000008,524376,2014-04-02 06:42:43,paypal,success,NONE,168.93,USD,mobile,205,49500
PAY000000009,BKG000000009,1104451,2014-08-29 00:10:47,credit_card,success,NONE,138.69,USD,mobile,69,23508
PAY000000010,BKG000000010,609673,2014-12-31 00:31:01,apple_pay,success,NONE,369.32,USD,desktop,66,33651
PAY000000011,BKG000000011,98526,2013-07-24 12:26:12,paypal,failed,PAYMENT_PROVIDER_ERROR,440.64,USD,desktop,205,8262
PAY000000012,BKG000000012,222642,2014-10-24 00:42:01,paypal,success,NONE,207.71,USD,desktop,66,263
PAY000000013,BKG000000013,802195,2013-08-21 10:37:13,bank_transfer,success,NONE,213.04,USD,desktop,19,12225
PAY000000014,BKG000000014,670060,2014-11-17 19:35:04,credit_card,success,NONE,496.36,USD,desktop,32,11853
PAY000000015,BKG000000015,842902,2014-07-10 19:29:32,credit_card,success,NONE,583.74,USD,desktop,62,8285
PAY000000016,BKG000000016,706679,2014-08-25 15:23:49,paypal,success,NONE,473.58,USD,desktop,46,22988
PAY000000017,BKG000000017,915398,2014-06-11 09:36:00,apple_pay,success,NONE,352.63,USD,desktop,205,11629
PAY000000018,BKG000000018,1092947,2013-11-27 11:23:13,paypal,success,NONE,162.61,USD,desktop,66,27140
PAY000000019,BKG000000019,603329,2013-08-09 16:28:47,apple_pay,success,NONE,241.72,USD,desktop,66,17704
PAY000000020,BKG000000020,336008,2013-04-02 00:31:01,google_pay,success,NONE,646.15,USD,desktop,149,19799
PAY000000021,BKG000000021,444741,2014-07-25 00:05:22,credit_card,success,NONE,477.09,USD,desktop,46,12233
PAY000000022,BKG000000022,198148,2014-04-19 19:30:43,credit_card,success,NONE,169.98,USD,desktop,66,20207
PAY000000023,BKG000000023,4964,2013-07-18 02:49:35,debit_card,success,NONE,328.85,EUR,desktop,194,11815
PAY000000024,BKG000000024,732749,2014-12-25 21:58:41,apple_pay,success,NONE,187.46,USD,desktop,66,6692
PAY000000025,BKG000000025,367857,2014-09-17 20:40:34,apple_pay,success,NONE,195.24,USD,desktop,182,8815
PAY000000026,BKG000000026,774974,2014-08-17 21:09:20,bank_transfer,failed,CARD_DECLINED,250.8,USD,desktop,46,21149
PAY000000027,BKG000000027,1072034,2013-03-08 14:57:47,paypal,success,NONE,455.18,USD,desktop,205,53943
PAY000000028,BKG000000028,900643,2014-03-28 12:49:08,credit_card,success,NONE,191.81,USD,desktop,66,26943
PAY000000029,BKG000000029,981328,2013-10-29 21:37:09,apple_pay,success,NONE,1520.95,USD,mobile,66,5405
PAY000000030,BKG000000030,661840,2014-05-25 14:27:50,debit_card,success,NONE,230.31,USD,desktop,66,53943
PAY000000031,BKG000000031,883859,2014-09-21 14:48:58,debit_card,success,NONE,309.94,USD,desktop,66,18663
PAY000000032,BKG000000032,884079,2013-05-13 19:56:09,paypal,failed,INSUFFICIENT_FUNDS,215.85,USD,desktop,66,4103
PAY000000033,BKG000000033,1161841,2014-01-12 13:35:50,paypal,success,NONE,1954.13,EUR,desktop,3,8287
PAY000000034,BKG000000034,190781,2014-07-29 15:55:56,apple_pay,success,NONE,212.17,USD,desktop,66,25658
PAY000000035,BKG000000035,578933,2014-02-10 03:06:14,credit_card,success,NONE,207.97,USD,desktop,215,27967
PAY000000036,BKG000000036,609558,2014-07-25 00:01:22,credit_card,success,NONE,100.76,USD,desktop,66,6035
PAY000000037,BKG000000037,38600,2014-11-25 20:17:06,credit_card,success,NONE,469.32,USD,desktop,66,8267
PAY000000038,BKG000000038,575524,2014-09-19 10:12:08,google_pay,success,NONE,408.94,USD,desktop,66,11998
PAY000000039,BKG000000039,570641,2014-11-26 22:13:35,apple_pay,success,NONE,1144.11,USD,desktop,66,42401
PAY000000040,BKG000000040,121164,2014-08-07 19:48:58,credit_card,success,NONE,164.6,USD,desktop,205,8287
PAY000000041,BKG000000041,274256,2014-11-04 15:50:28,credit_card,success,NONE,115.39,USD,desktop,66,26846
PAY000000042,BKG000000042,274256,2014-11-04 17:50:28,bank_transfer,failed,AUTH_TIMEOUT,91.62,USD,desktop,66,26846
PAY000000043,BKG000000043,1012407,2014-08-08 15:30:51,bank_transfer,success,NONE,942.6,USD,desktop,1,20116
PAY000000044,BKG000000044,604144,2014-04-23 13:33:04,paypal,success,NONE,151.02,USD,desktop,205,4803
PAY000000045,BKG000000045,590867,2014-06-18 12:12:06,credit_card,success,NONE,369.0,USD,desktop,3,20863
PAY000000046,BKG000000046,874844,2013-07-11 17:34:50,credit_card,success,NONE,448.23,USD,desktop,69,23117
PAY000000047,BKG000000047,1069920,2013-09-20 17:57:31,bank_transfer,success,NONE,259.93,USD,desktop,66,17563
