refund_id,booking_id,payment_id,refund_requested,refund_status,refund_reason,refund_amount,refund_request_time
REF000000001,BKG000000001,PAY000000001,False,not_requested,not_requested,0.0,
REF000000002,BKG000000002,PAY000000002,False,not_requested,not_requested,0.0,
REF000000003,BKG000000003,PAY000000003,False,not_requested,not_requested,0.0,
REF000000004,BKG000000004,PAY000000004,False,not_requested,not_requested,0.0,
REF000000005,BKG000000005,PAY000000005,False,not_requested,not_requested,0.0,
REF000000006,BKG000000006,PAY000000006,False,not_requested,not_requested,0.0,
REF000000007,BKG000000007,PAY000000007,False,not_requested,not_requested,0.0,
REF000000008,BKG000000008,PAY000000008,False,not_requested,not_requested,0.0,
REF000000009,BKG000000009,PAY000000009,False,not_requested,not_requested,0.0,
REF000000010,BKG000000010,PAY000000010,False,not_requested,not_requested,0.0,
REF000000011,BKG000000012,PAY000000012,False,not_requested,not_requested,0.0,
REF000000012,BKG000000013,PAY000000013,False,not_requested,not_requested,0.0,
REF000000013,BKG000000014,PAY000000014,False,not_requested,not_requested,0.0,
REF000000014,BKG000000015,PAY000000015,False,not_requested,not_requested,0.0,
REF000000015,BKG000000016,PAY000000016,False,not_requested,not_requested,0.0,
REF000000016,BKG000000017,PAY000000017,False,not_requested,not_requested,0.0,
REF000000017,BKG000000018,PAY000000018,False,not_requested,not_requested,0.0,
REF000000018,BKG000000019,PAY000000019,False,not_requested,not_requested,0.0,
REF000000019,BKG000000020,PAY000000020,False,not_requested,not_requested,0.0,
REF000000020,BKG000000021,PAY000000021,False,not_requested,not_requested,0.0,
REF000000021,BKG000000022,PAY000000022,False,not_requested,not_requested,0.0,
REF000000022,BKG000000023,PAY000000023,False,not_requested,not_requested,0.0,
REF000000023,BKG000000024,PAY000000024,False,not_requested,not_requested,0.0,
REF000000024,BKG000000025,PAY000000025,False,not_requested,not_requested,0.0,
REF000000025,BKG000000027,PAY000000027,False,not_requested,not_requested,0.0,
REF000000026,BKG000000028,PAY000000028,False,not_requested,not_requested,0.0,
REF000000027,BKG000000029,PAY000000029,False,not_requested,not_requested,0.0,
REF000000028,BKG000000030,PAY000000030,False,not_requested,not_requested,0.0,
REF000000029,BKG000000031,PAY000000031,False,not_requested,not_requested,0.0,
REF000000030,BKG000000033,PAY000000033,False,not_requested,not_requested,0.0,
REF000000031,BKG000000034,PAY000000034,False,not_requested,not_requested,0.0,
REF000000032,BKG000000035,PAY000000035,False,not_requested,not_requested,0.0,
REF000000033,BKG000000036,PAY000000036,False,not_requested,not_requested,0.0,
REF000000034,BKG000000037,PAY000000037,False,not_requested,not_requested,0.0,
REF000000035,BKG000000038,PAY000000038,False,not_requested,not_requested,0.0,
REF000000036,BKG000000039,PAY000000039,False,not_requested,not_requested,0.0,
REF000000037,BKG000000040,PAY000000040,False,not_requested,not_requested,0.0,
REF000000038,BKG000000041,PAY000000041,False,not_requested,not_requested,0.0,
REF000000039,BKG000000043,PAY000000043,True,approved,customer_cancelled,381.8,2014-09-08 15:30:51
REF000000040,BKG000000044,PAY000000044,False,not_requested,not_requested,0.0,
REF000000041,BKG000000045,PAY000000045,False,not_requested,not_requested,0.0,
REF000000042,BKG000000046,PAY000000046,False,not_requested,not_requested,0.0,
REF000000043,BKG000000047,PAY000000047,False,not_requested,not_requested,0.0,
REF000000044,BKG000000048,PAY000000048,False,not_requested,not_requested,0.0,
REF000000045,BKG000000049,PAY000000049,False,not_requested,not_requested,0.0,
REF000000046,BKG000000050,PAY000000050,False,not_requested,not_requested,0.0,
REF000000047,BKG000000051,PAY000000051,False,not_requested,not_requested,0.0,
REF000000048,BKG000000053,PAY000000053,False,not_requested,not_requested,0.0,
REF000000049,BKG000000054,PAY000000054,True,approved,customer_cancelled,249.45,2014-10-30 11:59:31
REF000000050,BKG000000055,PAY000000055,False,not_requested,not_requested,0.0,
REF000000051,BKG000000056,PAY000000056,False,not_requested,not_requested,0.0,
REF000000052,BKG000000058,PAY000000058,False,not_requested,not_requested,0.0,
REF000000053,BKG000000059,PAY000000059,False,not_requested,not_requested,0.0,
REF000000054,BKG000000060,PAY000000060,False,not_requested,not_requested,0.0,
REF000000055,BKG000000061,PAY000000061,False,not_requested,not_requested,0.0,
REF000000056,BKG000000062,PAY000000062,False,not_requested,not_requested,0.0,
REF000000057,BKG000000063,PAY000000063,False,not_requested,not_requested,0.0,
REF000000058,BKG000000064,PAY000000064,False,not_requested,not_requested,0.0,
REF000000059,BKG000000066,PAY000000066,False,not_requested,not_requested,0.0,
REF000000060,BKG000000067,PAY000000067,False,not_requested,not_requested,0.0,
REF000000061,BKG000000068,PAY000000068,True,rejected,airline_schedule_change,0.0,2014-09-19 22:12:14
REF000000062,BKG000000069,PAY000000069,False,not_requested,not_requested,0.0,
REF000000063,BKG000000070,PAY000000070,False,not_requested,not_requested,0.0,
REF000000064,BKG000000071,PAY000000071,False,not_requested,not_requested,0.0,
REF000000065,BKG000000073,PAY000000073,False,not_requested,not_requested,0.0,
REF000000066,BKG000000074,PAY000000074,False,not_requested,not_requested,0.0,
REF000000067,BKG000000075,PAY000000075,False,not_requested,not_requested,0.0,
REF000000068,BKG000000076,PAY000000076,True,rejected,airline_schedule_change,0.0,2014-05-18 22:38:30
REF000000069,BKG000000077,PAY000000077,False,not_requested,not_requested,0.0,
REF000000070,BKG000000078,PAY000000078,False,not_requested,not_requested,0.0,
REF000000071,BKG000000079,PAY000000079,False,not_requested,not_requested,0.0,
REF000000072,BKG000000080,PAY000000080,False,not_requested,not_requested,0.0,
REF000000073,BKG000000081,PAY000000081,False,not_requested,not_requested,0.0,
REF000000074,BKG000000082,PAY000000082,False,not_requested,not_requested,0.0,
REF000000075,BKG000000083,PAY000000083,False,not_requested,not_requested,0.0,
REF000000076,BKG000000084,PAY000000084,False,not_requested,not_requested,0.0,
REF000000077,BKG000000085,PAY000000085,False,not_requested,not_requested,0.0,
REF000000078,BKG000000086,PAY000000086,False,not_requested,not_requested,0.0,
REF000000079,BKG000000087,PAY000000087,False,not_requested,not_requested,0.0,
REF000000080,BKG000000088,PAY000000088,False,not_requested,not_requested,0.0,
REF000000081,BKG000000089,PAY000000089,False,not_requested,not_requested,0.0,
REF000000082,BKG000000090,PAY000000090,False,not_requested,not_requested,0.0,
REF000000083,BKG000000091,PAY000000091,False,not_requested,not_requested,0.0,
REF000000084,BKG000000092,PAY000000092,True,rejected,customer_cancelled,0.0,2015-01-31 05:58:38
REF000000085,BKG000000093,PAY000000093,False,not_requested,not_requested,0.0,
REF000000086,BKG000000094,PAY000000094,False,not_requested,not_requested,0.0,
REF000000087,BKG000000095,PAY000000095,False,not_requested,not_requested,0.0,
REF000000088,BKG000000096,PAY000000096,False,not_requested,not_requested,0.0,
REF000000089,BKG000000097,PAY000000097,False,not_requested,not_requested,0.0,
REF000000090,BKG000000099,PAY000000099,False,not_requested,not_requested,0.0,
REF000000091,BKG000000100,PAY000000100,False,not_requested,not_requested,0.0,
REF000000092,BKG000000101,PAY000000101,False,not_requested,not_requested,0.0,
REF000000093,BKG000000102,PAY000000102,False,not_requested,not_requested,0.0,
REF000000094,BKG000000104,PAY000000104,False,not_requested,not_requested,0.0,
REF000000095,BKG000000105,PAY000000105,False,not_requested,not_requested,0.0,
REF000000096,BKG000000106,PAY000000106,True,approved,airline_schedule_change,570.42,2014-07-29 17:16:44
REF000000097,BKG000000107,PAY000000107,False,not_requested,not_requested,0.0,
REF000000098,BKG000000108,PAY000000108,False,not_requested,not_requested,0.0,
REF000000099,BKG000000109,PAY000000109,False,not_requested,not_requested,0.0,
REF000000100,BKG000000110,PAY000000110,False,not_requested,not_requested,0.0,
REF000000101,BKG000000111,PAY000000111,False,not_requested,not_requested,0.0,
REF000000102,BKG000000112,PAY000000112,False,not_requested,not_requested,0.0,
REF000000103,BKG000000114,PAY000000114,False,not_requested,not_requested,0.0,
REF000000104,BKG000000115,PAY000000115,False,not_requested,not_requested,0.0,
REF000000105,BKG000000116,PAY000000116,False,not_requested,not_requested,0.0,
REF000000106,BKG000000119,PAY000000119,False,not_requested,not_requested,0.0,
REF000000107,BKG000000120,PAY000000120,False,not_requested,not_requested,0.0,
REF000000108,BKG000000121,PAY000000121,False,not_requested,not_requested,0.0,
REF000000109,BKG000000122,PAY000000122,False,not_requested,not_requested,0.0,
REF000000110,BKG000000123,PAY000000123,False,not_requested,not_requested,0.0,
REF000000111,BKG000000124,PAY000000124,False,not_requested,not_requested,0.0,
REF000000112,BKG000000125,PAY000000125,False,not_requested,not_requested,0.0,
REF000000113,BKG000000126,PAY000000126,False,not_requested,not_requested,0.0,
REF000000114,BKG000000127,PAY000000127,False,not_requested,not_requested,0.0,
REF000000115,BKG000000128,PAY000000128,False,not_requested,not_requested,0.0,
REF000000116,BKG000000129,PAY000000129,False,not_requested,not_requested,0.0,
REF000000117,BKG000000130,PAY000000130,False,not_requested,not_requested,0.0,
REF000000118,BKG000000131,PAY000000131,False,not_requested,not_requested,0.0,
REF000000119,BKG000000132,PAY000000132,False,not_requested,not_requested,0.0,
REF000000120,BKG000000133,PAY000000133,False,not_requested,not_requested,0.0,
REF000000121,BKG000000134,PAY000000134,False,not_requested,not_requested,0.0,
REF000000122,BKG000000135,PAY000000135,False,not_requested,not_requested,0.0,
REF000000123,BKG000000137,PAY000000137,False,not_requested,not_requested,0.0,
REF000000124,BKG000000138,PAY000000138,False,not_requested,not_requested,0.0,
REF000000125,BKG000000139,PAY000000139,False,not_requested,not_requested,0.0,
REF000000126,BKG000000140,PAY000000140,False,not_requested,not_requested,0.0,
REF000000127,BKG000000141,PAY000000141,False,not_requested,not_requested,0.0,
REF000000128,BKG000000142,PAY000000142,True,rejected,airline_schedule_change,0.0,2014-12-08 18:23:02
