ticket_id,booking_id,payment_id,ticket_status,ticket_issued_time,ticketing_error_code,ticketing_delay_minutes
TKT000000001,BKG000000001,PAY000000001,issued,2013-11-05 14:36:34,NONE,44.0
TKT000000002,BKG000000002,PAY000000002,issued,2014-01-28 16:23:36,NONE,5.0
TKT000000003,BKG000000003,PAY000000003,issued,2013-02-21 19:29:44,NONE,14.0
TKT000000004,BKG000000004,PAY000000004,issued,2013-04-02 15:44:46,NONE,31.0
TKT000000005,BKG000000005,PAY000000005,issued,2014-09-15 13:43:05,NONE,14.0
TKT000000006,BKG000000006,PAY000000006,issued,2014-10-19 20:38:46,NONE,30.0
TKT000000007,BKG000000007,PAY000000007,issued,2014-08-15 23:00:00,NONE,44.0
TKT000000008,BKG000000008,PAY000000008,issued,2014-04-02 07:12:43,NONE,30.0
TKT000000009,BKG000000009,PAY000000009,issued,2014-08-29 00:42:47,NONE,32.0
TKT000000010,BKG000000010,PAY000000010,issued,2014-12-31 01:11:01,NONE,40.0
TKT000000011,BKG000000011,PAY000000011,not_issued_payment_failed,,NONE,
TKT000000012,BKG000000012,PAY000000012,issued,2014-10-24 00:52:01,NONE,10.0
TKT000000013,BKG000000013,PAY000000013,issued,2013-08-21 10:47:13,NONE,10.0
TKT000000014,BKG000000014,PAY000000014,issued,2014-11-17 19:45:04,NONE,10.0
TKT000000015,BKG000000015,PAY000000015,issued,2014-07-10 19:40:32,NONE,11.0
TKT000000016,BKG000000016,PAY000000016,issued,2014-08-25 15:59:49,NONE,36.0
TKT000000017,BKG000000017,PAY000000017,issued,2014-06-11 10:11:00,NONE,35.0
TKT000000018,BKG000000018,PAY000000018,issued,2013-11-27 11:37:13,NONE,14.0
TKT000000019,BKG000000019,PAY000000019,issued,2013-08-09 16:43:47,NONE,15.0
TKT000000020,BKG000000020,PAY000000020,issued,2013-04-02 00:51:01,NONE,20.0
TKT000000021,BKG000000021,PAY000000021,issued,2014-07-25 00:15:22,NONE,10.0
TKT000000022,BKG000000022,PAY000000022,issued,2014-04-20 05:59:43,NONE,629.0
TKT000000023,BKG000000023,PAY000000023,issued,2013-07-18 03:04:35,NONE,15.0
TKT000000024,BKG000000024,PAY000000024,issued,2014-12-25 22:43:41,NONE,45.0
TKT000000025,BKG000000025,PAY000000025,issued,2014-09-17 20:50:34,NONE,10.0
TKT000000026,BKG000000026,PAY000000026,not_issued_payment_failed,,NONE,
TKT000000027,BKG000000027,PAY000000027,issued,2013-03-08 15:39:47,NONE,42.0
TKT000000028,BKG000000028,PAY000000028,issued,2014-03-28 12:59:08,NONE,10.0
TKT000000029,BKG000000029,PAY000000029,issued,2013-10-29 21:52:09,NONE,15.0
TKT000000030,BKG000000030,PAY000000030,issued,2014-05-25 15:03:50,NONE,36.0
TKT000000031,BKG000000031,PAY000000031,issued,2014-09-21 15:04:58,NONE,16.0
TKT000000032,BKG000000032,PAY000000032,not_issued_payment_failed,,NONE,
TKT000000033,BKG000000033,PAY000000033,issued,2014-01-12 13:38:50,NONE,3.0
TKT000000034,BKG000000034,PAY000000034,issued,2014-07-29 16:07:56,NONE,12.0
TKT000000035,BKG000000035,PAY000000035,issued,2014-02-10 03:21:14,NONE,15.0
TKT000000036,BKG000000036,PAY000000036,issued,2014-07-25 00:46:22,NONE,45.0
TKT000000037,BKG000000037,PAY000000037,issued,2014-11-25 20:44:06,NONE,27.0
TKT000000038,BKG000000038,PAY000000038,issued,2014-09-19 10:43:08,NONE,31.0
TKT000000039,BKG000000039,PAY000000039,issued,2014-11-26 22:50:35,NONE,37.0
TKT000000040,BKG000000040,PAY000000040,issued,2014-08-07 20:15:58,NONE,27.0
TKT000000041,BKG000000041,PAY000000041,issued,2014-11-04 15:54:28,NONE,4.0
TKT000000042,BKG000000042,PAY000000042,not_issued_payment_failed,,NONE,
TKT000000043,BKG000000043,PAY000000043,issued,2014-08-09 02:35:51,NONE,665.0
TKT000000044,BKG000000044,PAY000000044,pending,2014-04-23 14:06:04,SUPPLIER_ERROR,33.0
TKT000000045,BKG000000045,PAY000000045,issued,2014-06-18 12:50:06,NONE,38.0
TKT000000046,BKG000000046,PAY000000046,issued,2013-07-11 17:49:50,NONE,15.0
TKT000000047,BKG000000047,PAY000000047,issued,2013-09-20 18:39:31,NONE,42.0
TKT000000048,BKG000000048,PAY000000048,issued,2014-04-13 21:01:52,NONE,43.0
TKT000000049,BKG000000049,PAY000000049,issued,2014-10-08 09:42:47,NONE,30.0
TKT000000050,BKG000000050,PAY000000050,issued,2013-09-25 15:15:25,NONE,30.0
TKT000000051,BKG000000051,PAY000000051,issued,2013-02-16 09:20:52,NONE,29.0
TKT000000052,BKG000000052,PAY000000052,not_issued_payment_failed,,NONE,
TKT000000053,BKG000000053,PAY000000053,issued,2014-12-16 18:13:57,NONE,12.0
TKT000000054,BKG000000054,PAY000000054,issued,2014-09-18 16:42:31,NONE,283.0
TKT000000055,BKG000000055,PAY000000055,issued,2014-12-11 07:44:41,NONE,5.0
TKT000000056,BKG000000056,PAY000000056,failed,2014-10-11 11:43:16,AIRLINE_CONFIRMATION_FAILED,18.0
TKT000000057,BKG000000057,PAY000000057,not_issued_payment_failed,,NONE,
TKT000000058,BKG000000058,PAY000000058,issued,2014-06-02 15:40:35,NONE,20.0
TKT000000059,BKG000000059,PAY000000059,issued,2014-06-02 16:14:35,NONE,155.0
TKT000000060,BKG000000060,PAY000000060,issued,2014-10-15 16:20:40,NONE,20.0
TKT000000061,BKG000000061,PAY000000061,issued,2013-07-29 22:44:09,NONE,13.0
TKT000000062,BKG000000062,PAY000000062,issued,2014-12-09 15:06:06,NONE,25.0
TKT000000063,BKG000000063,PAY000000063,issued,2014-12-01 07:00:17,NONE,4.0
TKT000000064,BKG000000064,PAY000000064,issued,2013-03-07 19:26:51,NONE,43.0
TKT000000065,BKG000000065,PAY000000065,not_issued_payment_failed,,NONE,
TKT000000066,BKG000000066,PAY000000066,issued,2013-06-11 18:58:46,NONE,32.0
TKT000000067,BKG000000067,PAY000000067,issued,2014-03-29 12:39:04,NONE,38.0
TKT000000068,BKG000000068,PAY000000068,issued,2014-07-29 22:22:14,NONE,10.0
TKT000000069,BKG000000069,PAY000000069,issued,2013-11-05 09:16:25,NONE,45.0
TKT000000070,BKG000000070,PAY000000070,issued,2013-11-28 18:55:08,NONE,7.0
TKT000000071,BKG000000071,PAY000000071,issued,2013-01-29 03:56:26,NONE,17.0
TKT000000072,BKG000000072,PAY000000072,not_issued_payment_failed,,NONE,
TKT000000073,BKG000000073,PAY000000073,issued,2014-03-01 23:48:07,NONE,4.0
TKT000000074,BKG000000074,PAY000000074,issued,2014-07-10 00:10:17,NONE,10.0
TKT000000075,BKG000000075,PAY000000075,issued,2013-12-12 13:30:13,NONE,11.0
TKT000000076,BKG000000076,PAY000000076,issued,2014-05-16 23:13:30,NONE,35.0
TKT000000077,BKG000000077,PAY000000077,issued,2013-05-14 21:28:34,NONE,11.0
TKT000000078,BKG000000078,PAY000000078,issued,2014-03-12 08:56:21,NONE,45.0
TKT000000079,BKG000000079,PAY000000079,issued,2013-05-15 15:23:20,NONE,8.0
TKT000000080,BKG000000080,PAY000000080,issued,2013-11-03 09:13:12,NONE,17.0
TKT000000081,BKG000000081,PAY000000081,issued,2014-01-27 20:46:15,NONE,22.0
TKT000000082,BKG000000082,PAY000000082,issued,2013-04-12 17:07:22,NONE,30.0
TKT000000083,BKG000000083,PAY000000083,issued,2014-07-12 03:25:41,NONE,44.0
TKT000000084,BKG000000084,PAY000000084,issued,2014-03-17 00:54:04,NONE,19.0
TKT000000085,BKG000000085,PAY000000085,issued,2014-06-13 19:04:21,NONE,29.0
TKT000000086,BKG000000086,PAY000000086,issued,2013-02-23 02:47:58,NONE,19.0
TKT000000087,BKG000000087,PAY000000087,issued,2014-08-12 18:22:32,NONE,24.0
TKT000000088,BKG000000088,PAY000000088,issued,2013-01-10 10:56:50,NONE,27.0
TKT000000089,BKG000000089,PAY000000089,issued,2014-11-13 11:09:05,NONE,37.0
TKT000000090,BKG000000090,PAY000000090,issued,2014-07-30 08:30:05,NONE,7.0
TKT000000091,BKG000000091,PAY000000091,issued,2013-03-12 15:15:39,NONE,19.0
TKT000000092,BKG000000092,PAY000000092,issued,2014-12-07 21:28:38,NONE,930.0
TKT000000093,BKG000000093,PAY000000093,issued,2014-02-05 21:38:10,NONE,3.0
TKT000000094,BKG000000094,PAY000000094,issued,2014-07-20 22:32:18,NONE,21.0
TKT000000095,BKG000000095,PAY000000095,issued,2014-04-10 14:00:59,NONE,16.0
TKT000000096,BKG000000096,PAY000000096,issued,2014-11-24 14:05:27,NONE,26.0
TKT000000097,BKG000000097,PAY000000097,issued,2014-07-08 22:10:20,NONE,23.0
TKT000000098,BKG000000098,PAY000000098,not_issued_payment_failed,,NONE,
TKT000000099,BKG000000099,PAY000000099,issued,2014-11-03 11:03:56,NONE,10.0
TKT000000100,BKG000000100,PAY000000100,issued,2013-09-18 21:08:05,NONE,20.0
TKT000000101,BKG000000101,PAY000000101,issued,2013-09-05 19:36:33,NONE,42.0
TKT000000102,BKG000000102,PAY000000102,issued,2014-10-29 19:37:24,NONE,16.0
TKT000000103,BKG000000103,PAY000000103,not_issued_payment_failed,,NONE,
TKT000000104,BKG000000104,PAY000000104,issued,2014-06-10 12:08:31,NONE,42.0
TKT000000105,BKG000000105,PAY000000105,issued,2014-12-29 08:00:38,NONE,27.0
TKT000000106,BKG000000106,PAY000000106,issued,2014-07-10 17:47:44,NONE,31.0
TKT000000107,BKG000000107,PAY000000107,issued,2013-03-12 06:04:29,NONE,319.0
TKT000000108,BKG000000108,PAY000000108,issued,2014-02-02 21:28:50,NONE,15.0
TKT000000109,BKG000000109,PAY000000109,issued,2014-04-22 20:58:16,NONE,23.0
TKT000000110,BKG000000110,PAY000000110,issued,2013-10-21 01:24:46,NONE,14.0
TKT000000111,BKG000000111,PAY000000111,pending,2014-10-08 11:52:17,TICKETING_TIMEOUT,41.0
TKT000000112,BKG000000112,PAY000000112,issued,2014-01-29 23:21:00,NONE,41.0
TKT000000113,BKG000000113,PAY000000113,not_issued_payment_failed,,NONE,
TKT000000114,BKG000000114,PAY000000114,issued,2013-11-15 15:40:51,NONE,1131.0
TKT000000115,BKG000000115,PAY000000115,issued,2014-12-31 20:07:27,NONE,11.0
TKT000000116,BKG000000116,PAY000000116,issued,2014-03-22 10:14:08,NONE,1110.0
TKT000000117,BKG000000117,PAY000000117,not_issued_payment_failed,,NONE,
TKT000000118,BKG000000118,PAY000000118,not_issued_payment_failed,,NONE,
