Unnamed: 0,date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
24636210,2014-11-03 16:02:28,24,2,77,871,36643,456.1151,792280,0,1,1,2014-12-15,2014-12-19,2,0,1,8286,1,0,1,0,63,1258,68
19837144,2013-03-13 19:25:01,11,3,205,135,38749,232.4737,961995,0,0,9,2013-03-13,2013-03-14,2,0,1,1842,3,0,1,2,198,786,37
13066459,2014-10-13 13:20:25,2,3,66,314,48562,4468.272,495669,0,1,9,2015-04-03,2015-04-10,2,0,1,8746,1,0,1,6,105,29,22
4691082,2013-11-05 10:40:34,11,3,205,411,52752,171.6021,106611,0,0,0,2013-11-07,2013-11-08,2,0,1,6210,3,1,1,2,198,1234,42
4878884,2014-06-10 13:34:56,2,3,66,174,50644,,596177,0,0,9,2014-08-03,2014-08-08,2,1,1,12812,5,0,1,2,50,368,83
34825186,2014-12-16 14:34:39,2,3,66,220,38273,53.7481,260938,0,0,9,2014-12-16,2014-12-17,2,0,1,3448,3,0,1,2,50,582,54
24023139,2014-01-28 13:16:36,2,3,66,337,54287,329.1833,908558,0,0,2,2014-02-27,2014-03-01,2,0,1,8287,1,1,1,2,198,400,6
8184643,2014-02-27 08:29:19,24,2,3,38,4999,,1161104,0,1,0,2014-07-16,2014-07-20,1,0,1,8856,1,0,1,2,50,636,0
19270014,2014-12-15 10:44:33,2,3,133,20,41185,,560103,0,0,1,2014-12-17,2014-12-18,2,0,1,8226,1,0,1,5,100,1446,46
3997603,2013-11-16 23:40:35,2,3,66,189,17017,2284.9105,748046,0,0,1,2014-01-10,2014-01-12,2,1,1,12206,6,0,1,2,50,628,1
33874233,2014-12-15 14:27:19,13,1,46,172,35989,117.1923,599440,0,1,9,2015-07-03,2015-07-05,2,0,1,2713,3,0,3,6,144,1377,78
4644495,2014-02-14 12:52:48,28,1,68,480,24714,,1196773,0,1,0,2014-02-26,2014-03-02,2,0,1,56041,6,0,2,6,204,1479,61
20370892,2014-06-18 15:55:04,2,3,66,174,42881,304.6641,93433,0,0,9,2014-10-04,2014-10-05,2,0,1,24284,6,0,1,2,50,355,50
12548583,2014-04-09 06:40:49,2,3,119,0,27731,,1164644,0,0,9,2014-04-23,2014-04-24,2,0,1,26232,6,0,1,2,198,384,37
15848593,2014-10-13 07:35:45,2,3,66,448,30687,3804.7061,115147,1,1,2,2014-12-27,2015-01-02,1,0,1,8255,1,0,1,6,77,20,11
11014217,2013-09-22 20:54:40,13,1,46,171,17439,3920.3396,353687,0,1,9,2013-11-29,2013-12-02,2,0,1,8267,1,0,1,2,50,675,37
