country,route_or_destination,device,payment_attempts,payment_failures,payment_failure_rate_pct,payment_successes,refund_requests,refund_request_rate_pct_of_successes,attempted_revenue_usd,refund_amount_usd
3,8220,desktop,26,5.0,19.23,21.0,0.0,0.0,10454.95,0.0
66,12206,desktop,33,6.0,18.18,27.0,0.0,0.0,14287.55,0.0
66,9147,desktop,23,4.0,17.39,19.0,2.0,10.53,4815.4,234.84
66,8267,desktop,85,13.0,15.29,72.0,3.0,4.17,49437.2,996.37
66,8253,desktop,20,3.0,15.0,17.0,0.0,0.0,10848.52,0.0
66,8230,desktop,50,7.0,14.0,43.0,0.0,0.0,26559.08,0.0
66,8268,desktop,43,6.0,13.95,37.0,3.0,8.11,32937.7,1470.69
66,8279,desktop,45,5.0,11.11,40.0,3.0,7.5,26816.06,1577.82
66,8250,mobile,21,2.0,9.52,19.0,0.0,0.0,10959.19,0.0
66,8745,desktop,21,2.0,9.52,19.0,1.0,5.26,12707.32,0.0
66,8254,desktop,32,3.0,9.38,29.0,3.0,10.34,8752.42,218.12
66,8791,desktop,40,3.0,7.5,37.0,3.0,8.11,44769.51,2388.74
66,8278,desktop,27,2.0,7.41,25.0,3.0,12.0,8036.59,588.35
205,8250,desktop,27,2.0,7.41,25.0,0.0,0.0,20370.69,0.0
66,8250,desktop,166,10.0,6.02,156.0,7.0,4.49,81696.17,3360.77
66,8266,desktop,21,1.0,4.76,20.0,2.0,10.0,7924.43,125.37
66,12603,desktop,24,1.0,4.17,23.0,2.0,8.7,4040.84,70.0
66,8291,desktop,28,1.0,3.57,27.0,0.0,0.0,7907.48,0.0
66,7635,desktop,23,0.0,0.0,23.0,0.0,0.0,13056.9,0.0
66,12175,desktop,24,0.0,0.0,24.0,0.0,0.0,8546.29,0.0
